stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R06,overtaking_007,hypothetical,overtaking,False,,,,5.919214043580894,,28.98619029175735,0.94,0.01995663106225488,0.0,0.056
R06,overtaking_008,constrained,overtaking,False,,,,4.005135902793841,,34.61437482839426,0.968,0.014856714686785536,0.0,0.032
R06,overtaking_008,constrained_short,overtaking,False,,,,4.005135902793841,,34.61437482839426,0.968,0.014856714686785536,0.0,0.032
R06,overtaking_008,hypothetical,overtaking,False,,,,4.2775971803053325,,34.87891599367626,0.964,0.013012497522726166,0.0,0.032
R06,overtaking_009,constrained,overtaking,False,,,,-1.3718260401079032,,30.022756942995272,0.924,0.03303134935183578,0.0,0.068
R06,overtaking_009,constrained_short,overtaking,False,,,,-1.3718260401079032,,30.022756942995272,0.924,0.03303134935183578,0.0,0.068
R06,overtaking_009,hypothetical,overtaking,True,,,,4.3260200355103535,,4.328905805003744,0.10344827586206895,0.1506353036686126,0.0,0.9655172413793104
R06,overtaking_010,constrained,overtaking,True,,,,4.170481590909572,,4.1787624449894425,0.06666666666666665,0.07434641819980363,0.0,1.0
R06,overtaking_010,constrained_short,overtaking,True,,,,4.170481590909572,,4.1787624449894425,0.06666666666666665,0.07434641819980363,0.0,1.0
R06,overtaking_010,hypothetical,overtaking,True,,,,4.16871483969015,,4.176395541991457,0.06666666666666665,0.13858189853976766,0.0,1.0
R06,overtaking_011,constrained,overtaking,False,,,,0.2874530259578254,,29.61195682051296,0.9,0.03644832619742619,0.0,0.084
R06,overtaking_011,constrained_short,overtaking,False,,,,0.2874530259578254,,29.61195682051296,0.9,0.03644832619742619,0.0,0.084
R06,overtaking_011,hypothetical,overtaking,False,,,,0.5049986859966573,,29.5966298446398,0.904,0.03236738923385296,0.0,0.084
R06,overtaking_012,constrained,overtaking,False,,,,0.12192223559762283,,32.726241476778405,0.856,0.054290017770226726,0.0,0.116
R06,overtaking_012,constrained_short,overtaking,False,,,,0.12192223559762283,,32.726241476778405,0.856,0.054290017770226726,0.0,0.116
R06,overtaking_012,hypothetical,overtaking,False,,,,-0.2211332133279882,,32.642382540183846,0.84,0.054358397228325986,0.0,0.136
R06,overtaking_013,constrained,overtaking,True,,,,3.253207492578272,,3.2565098937297416,0.050000000000000044,0.2395020805905604,0.0,1.0
R06,overtaking_013,constrained_short,overtaking,True,,,,3.253207492578272,,3.2565098937297416,0.050000000000000044,0.2395020805905604,0.0,1.0
R06,overtaking_013,hypothetical,overtaking,True,,,,3.2713399133662184,,3.273044885095497,0.0,0.19521903427532955,0.0,1.0
R06,overtaking_014,constrained,overtaking,True,,,,4.367437590877113,,4.407943295923132,0.10344827586206895,0.3343951267084795,0.0,1.0
R06,overtaking_014,constrained_short,overtaking,True,,,,4.367437590877113,,4.407943295923132,0.10344827586206895,0.3343951267084795,0.0,1.0
R06,overtaking_014,hypothetical,overtaking,False,,,,-2.876163816965578,,30.053109339041967,0.832,0.06925910034033456,0.0,0.184
R06,overtaking_015,constrained,overtaking,False,,,,-1.110910510554877,,29.87510128133396,0.9319999999999999,0.026564343678789338,0.0,0.064
R06,overtaking_015,constrained_short,overtaking,False,,,,-1.110910510554877,,29.87510128133396,0.9319999999999999,0.026564343678789338,0.0,0.064
R06,overtaking_015,hypothetical,overtaking,True,,,,5.116264465839633,,5.119937716560602,0.17647058823529416,0.22322964158805791,0.0,0.8235294117647058
R06,overtaking_016,constrained,overtaking,False,,,,-0.9485116877616431,,32.061061975958374,0.876,0.05283764344626957,0.0,0.116
R06,overtaking_016,constrained_short,overtaking,False,,,,-0.9485116877616431,,32.061061975958374,0.876,0.05283764344626957,0.0,0.116
R06,overtaking_016,hypothetical,overtaking,True,,,,7.497442931967101,,7.525095620744757,0.4285714285714286,0.10767098584997338,0.0,0.6530612244897959
R06,overtaking_017,constrained,overtaking,False,,,,0.7101632928642498,,32.789986277351495,0.86,0.055483116304038085,0.0,0.116
R06,overtaking_017,constrained_short,overtaking,False,,,,0.7101632928642498,,32.789986277351495,0.86,0.055483116304038085,0.0,0.116
R06,overtaking_017,hypothetical,overtaking,True,,,,9.41750593831338,,9.425756659676368,0.5333333333333333,0.12447525800307561,0.0,0.4666666666666667
R06,overtaking_018,constrained,overtaking,False,,,,2.527313105090478,,33.704919188043306,0.912,0.0378947096849856,0.0,0.084
