stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u4_first_b512,crossing_014,crossing,False,,,20.000000000000004,0.3486614740788645,18.38488064940227,0.205,162.24
R08_open,u2_exhaustive_b2000000,crossing_015,crossing,False,,,20.000000000000004,1.9970919208819726,2.900393802729398,0.0,696.495
R08_open,u2_exhaustive_b2048,crossing_015,crossing,True,,,7.4,-0.04279849973884986,8.342677833944192,0.36486486486486486,1060.2297297297298
R08_open,u2_exhaustive_b512,crossing_015,crossing,True,,,6.9,-0.057697350365236155,8.071753915668754,0.5217391304347826,430.5507246376812
R08_open,u2_first_b2000000,crossing_015,crossing,False,,,20.000000000000004,1.9970919208819726,2.900393802729398,0.0,237.245
R08_open,u2_first_b2048,crossing_015,crossing,True,,,7.4,-0.04279849973884986,8.342677833944192,0.36486486486486486,941.6621621621622
R08_open,u2_first_b512,crossing_015,crossing,True,,,6.9,-0.057697350365236155,8.071753915668754,0.5072463768115942,304.6811594202899
R08_open,u4_first_b2000000,crossing_015,crossing,False,,,20.000000000000004,2.0099112841608244,2.898686160159513,0.0,163.86
R08_open,u4_first_b2048,crossing_015,crossing,True,,,8.8,-0.027651251956768763,8.42116987872374,0.2159090909090909,771.3977272727273
R08_open,u4_first_b512,crossing_015,crossing,True,,,6.9,-0.0825547958099605,8.078108882096824,0.4782608695652174,290.9130434782609
R08_open,u2_exhaustive_b2000000,crossing_016,crossing,False,,,20.000000000000004,8.60743655910386,1.7099294640287148,0.0,917.325
R08_open,u2_exhaustive_b2048,crossing_016,crossing,False,,,20.000000000000004,2.4155232799168074,4.322355905882527,0.19,820.61
R08_open,u2_exhaustive_b512,crossing_016,crossing,False,,,20.000000000000004,2.0241327159344658,4.764203200050536,0.74,489.28
R08_open,u2_first_b2000000,crossing_016,crossing,False,,,20.000000000000004,8.60743655910386,1.7099294640287148,0.0,433.28
R08_open,u2_first_b2048,crossing_016,crossing,False,,,20.000000000000004,2.4155232799168074,4.322355905882527,0.19,481.575
R08_open,u2_first_b512,crossing_016,crossing,False,,,20.000000000000004,2.4027564183498766,4.347513791980354,0.19,186.12
R08_open,u4_first_b2000000,crossing_016,crossing,False,,,20.000000000000004,8.60743655910386,1.7099294640287148,0.0,280.74
R08_open,u4_first_b2048,crossing_016,crossing,False,,,20.000000000000004,2.570318510135738,4.064186720171216,0.14,404.385
R08_open,u4_first_b512,crossing_016,crossing,False,,,20.000000000000004,2.4027564183498766,4.347513791980354,0.19,186.12
R08_open,u2_exhaustive_b2000000,crossing_017,crossing,False,,,20.000000000000004,2.817808242725589,3.067696566126947,0.0,907.795
R08_open,u2_exhaustive_b2048,crossing_017,crossing,False,,,20.000000000000004,0.2845658017802879,2.9431240675562105,0.415,1168.875
R08_open,u2_exhaustive_b512,crossing_017,crossing,False,,,20.000000000000004,0.48707930901798746,2.6627303645700255,0.725,444.915
R08_open,u2_first_b2000000,crossing_017,crossing,False,,,20.000000000000004,2.817808242725589,3.067696566126947,0.0,489.015
R08_open,u2_first_b2048,crossing_017,crossing,False,,,20.000000000000004,0.2845658017802879,2.9431240675562105,0.415,997.335
R08_open,u2_first_b512,crossing_017,crossing,False,,,20.000000000000004,0.6929566370488076,2.980047631529718,0.465,299.42
R08_open,u4_first_b2000000,crossing_017,crossing,False,,,20.000000000000004,2.817808242725589,3.067696566126947,0.0,318.81
R08_open,u4_first_b2048,crossing_017,crossing,False,,,20.000000000000004,1.4119429497300962,12.853679509932917,0.475,1090.535
R08_open,u4_first_b512,crossing_017,crossing,False,,,20.000000000000004,0.6586643467243891,3.6513401621586006,0.455,288.345
R08_open,u2_exhaustive_b2000000,crossing_018,crossing,False,,,20.000000000000004,1.7183453442238408,2.3537935595874977,0.0,892.005
R08_open,u2_exhaustive_b2048,crossing_018,crossing,True,,,6.4,-0.009512637305712723,7.309323273152514,0.53125,1365.125
R08_open,u2_exhaustive_b512,crossing_018,crossing,True,,,6.2,-0.13315126635048102,7.2093432901059735,0.7096774193548387,442.758064516129
R08_open,u2_first_b2000000,crossing_018,crossing,False,,,20.000000000000004,1.7183453442238408,2.3537935595874977,0.0,456.71
R08_open,u2_first_b2048,crossing_018,crossing,True,,,6.4,-0.009512637305712723,7.309323273152514,0.53125,1313.078125
R08_open,u2_first_b512,crossing_018,crossing,True,,,6.2,-0.13315126635048102,7.2093432901059735,0.6935483870967742,390.46774193548384
R08_open,u4_first_b2000000,crossing_018,crossing,False,,,20.000000000000004,1.7187043732360379,2.357230359111364,0.0,290.07
R08_open,u4_first_b2048,crossing_018,crossing,True,,,7.7,-0.021586080121618,7.509516461233469,0.33766233766233766,1055.8831168831168
